"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Emery Oleochemicals","✅ Emery Oleochemicals","Emery Oleochemicals","Emery Oleochemicals is a leading global specialty chemicals manufacturer. We provide formulators and manufacturers with best-in-class renewable solutions recognized for their ability to improve processing efficiencies, deliver outstanding technical performance and enhance environmental safety. 

Headquartered in the United States of America, our name Emery Oleochemicals has its roots in a rich history that began over 180 years ago in Cincinnati, Ohio, USA, when Thomas Emery Sr. began making candles from tallow. This started a sustainable business model that today, involves making high-performance specialty chemicals predominantly derived from natural oils and fats. Using pioneering and proprietary technology, in-depth market insights and superior technical knowledge, we are able to customize our products to specific application needs in many high-growth sectors such as plastics, automotive, industrial lubricants, electronics, building and construction, food and beverage, furniture and bedding, appliances, coatings and adhesives, home and personal care, oilfield, packaging, agriculture and more.

Supported by our regional Technical Development Centers of Excellence, Emery Oleochemicals is positioned to support both exclusive and joint solution development efforts with our customers, leveraging our expertise covering four specialty business platforms – Agro Green, Bio-Lubricants, Eco-Friendly Polyols, and Green Polymer Additives – while building upon the foundation of our mainstay OleoBasics business. 

Driven by our core values of Competitive Advantage, Innovation, Trust and Partnership, we strive to continuously innovate in order to deliver sustainable solutions that meet performance, environmental and societal needs.","Chemical Manufacturing","201-500 employees","Privately Held","Cincinnati, Ohio","United States","emeryoleo.com","https://www.linkedin.com/company/emery-oleochemicals",,,,,
,"Betco Corporation","✅ Betco","Betco","Over 250 “state of the art” unique formulations for cleaning, disinfecting, floor care, skin care, industrial applications, and other assorted specialty cleaning and maintenance products. We also offer a complete line of equipment for every cleaning task from special floor-scrubbing machines to heavy duty stripping machines. 

Better chemistry, superior equipment, and a complete maintenance management process. 

With distributors located throughout the United States, Canada, Mexico and Central America, Betco has a distribution capability in every major market of the country, and is ideally positioned to expand to other markets around the globe. 

We are a customer-focused company, with all the equipment, chemicals and processes needed to fill any facility maintenance management need. We can process any order, regardless of size, within 5 working days.","Chemical Manufacturing","201-500 employees","Privately Held","Bowling Green, Ohio","United States","betco.com","https://www.linkedin.com/company/betco-corporation",,,,,
,"Koch Modular","✅ Koch Modular","Koch Modular","Koch Modular Process Systems, LLC (Koch Modular) specializes in the design and supply of modular process systems for the worldwide Chemical Processing Industry.

Koch Modular's Executive Committee is comprised of degreed chemical engineers with an average of 35+ years of experience in mass transfer process equipment design. Our business is built on the unique problem-solving skills of our process engineers. We complement our strength in process design with a project management team experienced in all aspects of detailed design, process control, and modular construction.

Koch Modular is a joint venture with Koch-Glitsch LP, one of the world's most prominent suppliers of mass transfer equipment. Koch-Glitsch's parent company is Koch Industries, one of the largest privately held corporations in the United States.

Koch Modular maintains its main office in Paramus, New Jersey, which is about 30 minutes from Newark Liberty Airport outside of New York City. We also have a pilot plant facility in Houston, Texas.","Chemical Manufacturing","51-200 employees","Privately Held","Paramus, NJ","United States","kochmodular.com","https://www.linkedin.com/company/koch-modular",,,,,
,"Kuraray America, Inc.","✅ Kuraray America","Kuraray America","Voted one of the Nation's Best and Brightest Companies to Work For, Kuraray America, Inc. (KAI) is a global leader in specialty chemical, fiber, and resin production. With top-of-the-line research and production facilities and a vast network of supply from around the world, Kuraray leads the industry in specialty dental, fiber, resin, and elastomer products. 

Kuraray America, Inc. is a wholly owned subsidiary of Kuraray Company, Ltd. Based in Tokyo, Japan. Kuraray has operations in 31 countries and employs more than 11,000 employees worldwide, including over 850 at KAI.","Chemical Manufacturing","501-1,000 employees","Public Company","Houston, Texas","United States","us.com","https://www.linkedin.com/company/kuraray-america-inc",,,,,
,"Cambridge Isotope Laboratories, Inc","✅ Cambridge Isotope Laboratories","Cambridge Isotope Laboratories","Cambridge Isotope Laboratories, Inc. (CIL) is the world leader in the separation and manufacture of stable isotopes and stable isotope-labeled compounds. With approximately 700 employees and laboratories in five countries, CIL specializes in the process of labeling biochemical and organic compounds with highly enriched, stable (non-radioactive) isotopes of carbon, hydrogen, nitrogen and oxygen.

Our chemists substitute a common atom for a rare, highly valued isotopic component so that the final product can be readily measured or traced using mass spectrometry (mass spec) or nuclear magnetic resonance (NMR). CIL¹s products are utilized in laboratories, medical, government and academic research centers and health care facilities worldwide. 

We are proud that CIL products have contributed to medical advancements in cancer research, new drug development, environmental analysis, genomics and proteomics and medical diagnostic research.

CIL¹s vision began when it was founded in 1981 by Dr. Joel Bradley, an organic chemist from MIT. We now produce more than 15,000 products and have ISO 13485 quality systems, as well as cGMP production capabilities. The CIL group is comprised of six companies: Cambridge Isotope Laboratories, Inc. (CIL), CIL Isotope Separations (CIS), CIL Canada, Inc. in Montreal, Canada; Euriso-Top in Saclay, France; ABX GmbH in Dresden, Germany and CIL China.","Chemical Manufacturing","501-1,000 employees","Privately Held","Tewksbury, MA","United States","isotope.com","https://www.linkedin.com/company/cambridge-isotope-laboratories-inc-",,,,,
,"Palmer Holland","✅ Palmer Holland","Palmer Holland","Established in 1925, today Palmer Holland is a North American specialty chemical and fine ingredient distributor of raw materials headquartered in Cleveland, Ohio with 50+ account managers stationed throughout the United States and Canada. We are a private, employee-owned company which allows us greater flexibility in the marketplace and a dedicated platform for long-term success. This flexibility allows us to provide our customers and principals with the most effective and efficient solutions. Our partners are rooted in the areas of Agriculture, CASE (coatings, adhesives, sealants, elastomers), Health & Nutrition, Lubricants, and Engineered Materials. 

Take a look at our portfolio of possibilities:

- 3M Advanced Materials
- Abitec
- Admark Polycoats
- AGRANA
- allnex (Crosslinkers, Radcure)
- American Colors
- Arkema (Coating Resins, High Performance Polymers, Rheology and Specialty Additives, Specialty Polyamides, Plastic Additives, Powder Resins)
- Aurorium (Castor Oil, Plastics)
- Baerlocher (Stearates, PVC)
- Carpenter
- CEAMSA
- CIMBAR
- Clariant (Additives, Industrial Applications)
- Dorf Ketal Chemical
- Dow Coating Materials
- DRT
- DZBH
- Elix Polymers
- Elkem Silicones 
- Evonik (Coating Additives, Silanes, Silicas)
- ExxonMobil
- Focus Chemical
- FoodRGB
- Grain Millers
- HB Fuller
- Henkel
- Huntsman
- IND HEMP
- Indorama
- INEOS Oligomers
- Kolon 
- Korea PTG
- Kronos
- Lanxess (IPG, CAB, LAB, PAB, MPP)
- LyondellBasell
- LWB
- Nitta Gelatin
- Nouryon
- Olin Epoxy
- Orkla Health
- PCBL
- PCC Chemax
- Petro-Canada
- PURIS
- Pyure Brands
- Sasol
- SAPICI
- Savanna Ingredients GmbH
- Shark Solutions
- SK geo centric
- Sonneborn
- Superior Graphite
- Synthesia
- Synthomer
- Tosoh
- Toyal
- Valio
- Versalis
- Wanhua
- WPC Technologies
- Zeochem
- Zhejiang Fenghong
- Zibo Dexin
- Zochem","Chemical Manufacturing","201-500 employees","Privately Held","Westlake, Ohio","United States","palmerholland.com","https://www.linkedin.com/company/palmer-holland",,,,,
,"DrillChem","✅ DrillChem","DrillChem","DrillChem was organized in September of 2000 in order to provide solutions to the costly drilling problems that plague oil and gas companies. The founders saw a need for a more efficient and effective approach to drilling in high-problem regions in the U.S. and internationally. Armed with a new generation of high-performance mud additives, they set out to apply proven engineering techniques to lower drilling cost overruns associated with lost circulation, stuck pipe, and shale instability.

Drillchem provides custom-tailored solutions to help operators reduce the time and costs required to drill their wells. These savings are achieved through minimizing or eliminating drilling problems and unproductive flat lines by:

 - Controlling lost circulation

 - Reducing stuck pipe occurrence

 - Inhibiting troublesome shales

 - Reducing wellbore friction in drilling and completions

 - Increasing ROP and hole cleaning in HDD applications

The mission of Drillchem is to provide specialty chemicals and value added services which create solutions for our oil and gas customers as well as to inspire a dynamic, fun work environment defined by our culture and work ethic.

The vision of Drillchem is to be the leading integrated specialty chemical provider to the drilling, completion, production, and midstream segments of the oil and gas industry.","Chemical Manufacturing","11-50 employees","Privately Held","The Woodlands, TX","United States","drillchem.com","https://www.linkedin.com/company/drillchem-drilling-solutions",,,,,
,"Michelman","✅ Michelman","Michelman","Michelman is a global developer and manufacturer of environmentally friendly advanced materials for industry, offering solutions for the coatings, printing & packaging and industrial manufacturing markets. The company’s surface additives and polymeric binders are used by leading manufacturers around the world to enhance performance attributes and add value in applications including wood and floor care products, metal and industrial coatings, paints, varnishes, inks, fibers and composites. Michelman is also well-known as an innovator in the development of barrier and functional coatings, as well as digital printing-press primers that are used in the production of consumer and industrial packaging, paper products, labels, and commercially printed materials. Michelman serves its customers with production facilities in North America, Europe and Asia, product development and technical service centers in several major global markets, and a worldwide team of highly trained business development personnel.","Chemical Manufacturing","201-500 employees","Privately Held","Cincinnati, OH","United States","michelman.com","https://www.linkedin.com/company/michelman",,,,,
,"Phoenix Oil","✅ Phoenix Oil","Phoenix Oil","Phoenix specializes in oil blending, processing, trading and reclassification.","Chemical Raw Materials Manufacturing","201-500 employees","Public Company","Humble, Texas","United States","phoenixoil-tx.com","https://www.linkedin.com/company/phoenixoil-tx",,,,,
,"IndSpyre Solutions","✅ IndSpyre Solutions","IndSpyre Solutions","We are a 100% employee-owned, national distributor of specialty chemicals for the HI&I and adjacent industrial markets.  IndSpyre Solutions contributes to the success of our customers and suppliers by meeting their needs for experienced technical sales support, exceptional customer service, superior products, timely delivery of raw materials and, very importantly, innovation. In pursuit of this mission, we embrace a culture of authentic ownership and a bias for action.  We play the long game and strive to be in business 100 years from now.  We do the right thing, even when it’s hard.  IndSpyre creates an environment where our employee-owners can develop their skills and potential while caring for our customers, suppliers, communities, and each other.","Chemical Manufacturing","11-50 employees","Privately Held","Lawrenceville, Georgia","United States","indspyre.com","https://www.linkedin.com/company/indspyre-solutions-inc",,,,,
