"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"VANS FIRE AND SAFETY, INC.","✅ VANS FIRE AND SAFETY","VANS FIRE AND SAFETY",,"Chemical Manufacturing","11-50 employees",,"GREEN BAY, Wisconsin","United States","vansfire.com","https://www.linkedin.com/company/vans-fire-and-safety-inc.",,,,,
,"Water Doctor","✅ Water Doctor","Water Doctor","Water Doctor provides comprehensive water services for both commercial and residential clients in and around Kansas City, Saint Joseph, and surrounding areas. We specialize in a variety of areas, including; water softeners, water filtration, drinking water systems, iron removal systems, well water systems, and more! Water Doctor utilizes the most durable and sophisticated service equipment, guaranteeing complete satisfaction while also offering competitive pricing.","Chemical Manufacturing","11-50 employees","Privately Held","St Joseph, Missouri","United States","waterdoctormo.com","https://www.linkedin.com/company/water-doctor-kc-sj",,,,,
,"Greenway Products","✅ Greenway Products","Greenway Products","Competitive Commodity Chemicals and Industrial Solutions.","Chemical Manufacturing","11-50 employees",,"Ligonier, Pennsylvania","United States","greenwayproductsinc.com","https://www.linkedin.com/company/greenway-products",,,,,
,"Raychem Corp","✅ Raychem","Raychem",,"Chemical Manufacturing","11-50 employees",,"Hanover, Maryland","United States","raychem.com","https://www.linkedin.com/company/raychem-corp",,,,,
,"United States Chemical","✅ United States Chemical","United States Chemical",,"Chemical Manufacturing","11-50 employees",,"Watertown, Wisconsin","United States","uschemical.com","https://www.linkedin.com/company/united-states-chemical",,,,,
,"Choksey Group","✅ Choksey","Choksey",,"Chemical Manufacturing","11-50 employees",,"Longmont, Colorado","United States","chokseygroup.com","https://www.linkedin.com/company/choksey-group",,,,,
,"Acid Amine Technologies Inc","✅ Acid Amine Technologies","Acid Amine Technologies",,"Chemical Manufacturing","11-50 employees",,"Woodcliff Lake, New Jersey","United States",,"https://www.linkedin.com/company/acid-amine-technologies-inc",,,,,
,"PRIME MARKET SERVICES INC","✅ PRIME MARKET SERVICES","PRIME MARKET SERVICES",,"Chemical Manufacturing","11-50 employees",,"KANSAS CITY, Missouri","United States",,"https://www.linkedin.com/company/prime-market-services-inc",,,,,
,"Industrial Polishing","✅ Industrial Polishing","Industrial Polishing",,"Chemical Manufacturing","11-50 employees",,"St Paul, Minnesota","United States",,"https://www.linkedin.com/company/industrial-polishing",,,,,
,"Betz Labs Inc","✅ Betz Labs","Betz Labs",,"Chemical Manufacturing","51-200 employees",,"New Philadelphia, Ohio","United States",,"https://www.linkedin.com/company/betz-labs-inc",,,,,
,"Boomerang Packaging Inc","✅ Boomerang Packaging","Boomerang Packaging",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States","boomerangpackaging.com","https://www.linkedin.com/company/boomerang-packaging-inc",,,,,
,"Shaw Maintenance","✅ Shaw Maintenance","Shaw Maintenance",,"Chemical Manufacturing","11-50 employees",,"Columbia, MO","United States",,"https://www.linkedin.com/company/shaw-maintenance",,,,,
,"South Pacific Chemical","✅ South Pacific Chemical","South Pacific Chemical","SPCI is committed to producing the highest quality chemicals from its manufacturing sector as well as implementing state-of-the art testing facilities to meet and maintain SPCI’s current ISO 9001:2000 accreditation.","Chemical Manufacturing","11-50 employees",,"Artesia, California","United States","spci.com.my","https://www.linkedin.com/company/south-pacific-chemical",,,,,
,"3D Detailing Products","✅ 3D Detailing Products","3D Detailing Products",,"Chemical Manufacturing","11-50 employees",,"Oxnard, California","United States",,"https://www.linkedin.com/company/3d-detailing-products",,,,,
,"MAXGARD UV Protection :: Water Soluble Applications","✅ MAXGARD UV Protection :: Water Soluble Applications","MAXGARD UV Protection :: Water Soluble Applications","The MAXGARD UV Absorbers for water soluble applications.  Our current water-soluble offerings are ideal for textiles, water-based paints and inks, fragrances, surfactant-based cosmetics and clear gel applications.","Chemical Manufacturing","11-50 employees","Privately Held","El Dorado, Arkansas","United States","lycusltd.com","https://www.linkedin.com/company/maxgard-uv-protection-water-soluble-applications",,,,,
,"Atlantic Specialty Chemicals","✅ Atlantic Specialty Chemicals","Atlantic Specialty Chemicals","Atlantic Specialty Chemicals is a chemicals company based out of 317 Godwin Ave, Midland Park, New Jersey, United States.","Chemical Manufacturing","11-50 employees","Privately Held","Midland Park, New Jersey","United States","ascc1.com","https://www.linkedin.com/company/atlantic-specialty-chemicals",,,,,
,"SPEX CERTIPREP GROUP, LLC","✅ SPEX CERTIPREP GROUP","SPEX CERTIPREP GROUP",,"Chemical Manufacturing","51-200 employees",,"Metuchen, New Jersey","United States",,"https://www.linkedin.com/company/spex-certiprep-group-llc",,,,,
,"4004 Incorporated","✅ 4004","4004",,"Chemical Manufacturing","51-200 employees",,"Dearborn, Michigan","United States",,"https://www.linkedin.com/company/4004-incorporated",,,,,
,"Dynax Corp","✅ Dynax","Dynax",,"Chemical Manufacturing","11-50 employees",,"Pound Ridge, New York","United States","dynaxcorp.com","https://www.linkedin.com/company/dynax-corp",,,,,
,"Ingenero Corp","✅ Ingenero","Ingenero",,"Chemical Manufacturing","11-50 employees",,"Laporte, Indiana","United States",,"https://www.linkedin.com/company/ingenero-corp",,,,,
,"R J Chemicals Inc","✅ R J Chemicals","R J Chemicals",,"Chemical Manufacturing","11-50 employees",,"Pompano Beach, Florida","United States","rjchemicals.com","https://www.linkedin.com/company/r-j-chemicals-inc",,,,,
,"GPC Inc","✅ GPC","GPC","GPC is one of the leading suppliers of European Carbon Black in North America. Our mission is to give our customers the best prices, materials, and services available on the market with customer service that is dedicated to meet your needs. In summer of 2017 we started offering Styrene-Butadiene Rubber grades SBR 1502 and SBR 1712. We are excited to add these materials to our product list as a quality alternative to what is available in the US market. With over two decades of experience, we are able to offer the best quality industrial chemicals at competitive prices to meet the demands of today’s fast-paced market. We maintain our own global logistics department which allows us to minimize shipping expenses at every step as well as provide our customers with reliable yet affordable piece of mind that their order will be on time, every time.","Chemical Manufacturing","11-50 employees","Privately Held","Woodbridge, VA","United States","golden-pride.com","https://www.linkedin.com/company/gpcinc",,,,,
,"Smurfit Packaging","✅ Smurfit Packaging","Smurfit Packaging",,"Chemical Manufacturing","11-50 employees",,"Hayward, California","United States",,"https://www.linkedin.com/company/smurfit-packaging",,,,,
,"Olin Ordinance","✅ Olin Ordinance","Olin Ordinance",,"Chemical Manufacturing","11-50 employees",,"Red Lion, Pennsylvania","United States",,"https://www.linkedin.com/company/olin-ordinance",,,,,
,"Barrington Chemical Corporation","✅ Barrington Chemical","Barrington Chemical","Barrington Nutritionals' diverse portfolio serves nutraceutical, pharmaceutical, and functional food industries for a better path to health & wellness.","Chemical Manufacturing","11-50 employees",,"Harrison, New York","United States","barringtonchem.com","https://www.linkedin.com/company/barrington-chemical-corporation",,,,,
,"Ocean Reviver","✅ Ocean Reviver","Ocean Reviver","Ocean Reviver introduces innovative nanoscale entropic desalination technology, efficiently removing salts and minerals to deliver high-quality freshwater. Our systems also extract valuable rare earth elements (REEs) from water sources, supporting sustainable resource recovery. This technology serves various sectors:
	• Military: Portable units ensure reliable freshwater in remote or arid regions, enhancing operational sustainability.
	• Energy: Treats and recycles water from oil and gas operations, enabling mineral recovery and promoting sustainable practices. By integrating with renewable energy sources, our technology contributes to energy independence and security.  ￼
	• Agriculture: Provides high-quality irrigation water in areas with saline or limited freshwater, boosting food security and supporting sustainable farming.

Products and Services:
	• Desalination Units: Compact, energy-efficient devices utilizing nanoscale ion confinement for superior water purification.
	• REE Extraction Systems: Advanced solutions for extracting valuable REEs from water sources, benefiting high-tech industries.
	• Custom Engineering: Tailored systems to meet specific needs across diverse sectors.
	• Consulting and Support: Expert services ensure optimal performance and longevity of our technologies.

Join us in transforming water purification and resource recovery for a sustainable future.","Chemical Manufacturing","11-50 employees","Partnership","Irvine, California","United States","oceanreviver.com","https://www.linkedin.com/company/oceanreviver",,,,,
,"Superior Lawn Services","✅ Superior Lawn Services","Superior Lawn Services","Superior Lawn Service is not in the lawn spraying business, we are in the customer business and we've been built that way, one relationship, one lawn at a time. We like to say, ""You may own your home, but your lawn belongs to us""","Chemical Manufacturing","11-50 employees","Privately Held","Jonesboro, Arkansas","United States","superiorlawns.us","https://www.linkedin.com/company/superiorlawnservices",,,,,
,"Bubble & Bee Organic","✅ Bubble & Bee Organic","Bubble & Bee Organic","We make the best ""no bad stuff"" stuff! One of the worlds only 100% organic deodorants, buttery smooth lip balms, organic soaps, organic lotions, organic shower gels. Find us at: 600 N 500 W Suite A Bountiful, UT 84010 801-560-7899 Hours of operation: Monday - Friday 10 am to 6 pm To educate everyone about the importance of staying away from the nasty chemicals we put on our skin every day!","Chemical Manufacturing","11-50 employees",,"Bountiful, Utah","United States","bubbleandbee.com","https://www.linkedin.com/company/bubble-&-bee-organic",,,,,
,"Gencon Construction","✅ Gencon Construction","Gencon Construction",,"Chemical Manufacturing","11-50 employees",,"Point, Texas","United States","genconconstruction.com","https://www.linkedin.com/company/gencon-construction",,,,,
,"Sparkalyte","✅ Sparkalyte","Sparkalyte","For over 25 years we have served high-end independent restaurants, hotels, gyms, entertainment parks and other establishments who trust our experience to provide reliable high performance commercial grade detergents, sanitizers, rinsers, degreasers, delimers, water softeners and other products to meet your specific needs.","Chemical Manufacturing","11-50 employees","Privately Held","Doylestown, PA","United States","sparkalyte.com","https://www.linkedin.com/company/sparkalyte",,,,,
,"Ici Explosives USA Inc","✅ Ici Explosives USA","Ici Explosives USA",,"Chemical Manufacturing","51-200 employees",,"Coeburn, VA","United States",,"https://www.linkedin.com/company/ici-explosives-usa-inc",,,,,
,"Apotheek Westerterp B.V.","✅ Apotheek Westerterp","Apotheek Westerterp",,"Chemical Manufacturing","11-50 employees",,"HARLINGEN","United States",,"https://www.linkedin.com/company/apotheek-westerterp-b.v.",,,,,
,"Integrated Crop Management","✅ Integrated Crop Management","Integrated Crop Management",,"Chemical Manufacturing","11-50 employees",,"Sarona, Wisconsin","United States",,"https://www.linkedin.com/company/integrated-crop-management",,,,,
,"GRAYMONT WESTERN LIME INC.","✅ GRAYMONT WESTERN LIME","GRAYMONT WESTERN LIME",,"Chemical Manufacturing","51-200 employees",,"West Bend, Wisconsin","United States",,"https://www.linkedin.com/company/graymont-western-lime-inc.",,,,,
,"Alchem Solutions","✅ Alchem Solutions","Alchem Solutions",,"Chemical Manufacturing","11-50 employees",,"Seattle, Washington","United States",,"https://www.linkedin.com/company/alchem-solutions",,,,,
,"Seal & Design Inc, Higbee Division","✅ Seal & Design Inc, Higbee Division","Seal & Design Inc, Higbee Division","Seal & Design is a premier North American fabricator of gaskets, seals, and more with world class manufacturing and quality. Learn more and order today.","Chemical Manufacturing","11-50 employees",,"Syracuse, New York","United States","higbee-inc.com","https://www.linkedin.com/company/seal-&-design-inc-higbee-division",,,,,
,"Smithers-Oasis Engineered Products","✅ Smithers-Oasis Engineered Products","Smithers-Oasis Engineered Products","Engineered Products  is a division of Smithers-Oasis Company, which is focused on the development and application of foam technology. 

We are actively pursuing and investigating any and all opportunities / potential solutions we can provide with our foam & fabrication technology.

Smithers-Oasis Company has been manufacturing and selling products used in the floral, grower, bio-medical, post-harvest, and specialty markets.","Chemical Manufacturing","501-1,000 employees","Privately Held","Kent, Ohio","United States","soeproducts.com","https://www.linkedin.com/company/smithersfoams.com",,,,,
,"Physical Plant Department","✅ Physical Plant Department","Physical Plant Department",,"Chemical Manufacturing","11-50 employees",,"Portland, Oregon","United States",,"https://www.linkedin.com/company/physical-plant-department",,,,,
,"Dyetech Inc","✅ Dyetech","Dyetech",,"Chemical Manufacturing","11-50 employees",,"Dalton, Georgia","United States","dyetechinc.com","https://www.linkedin.com/company/dyetech-inc",,,,,
,"EC Pigments USA, Inc.","✅ EC Pigments USA","EC Pigments USA",,"Chemical Manufacturing","11-50 employees",,"Fall River, MA","United States","ecpigments.com","https://www.linkedin.com/company/ec-pigments-usa-inc-",,,,,
,"KEEP U SAFE","✅ KEEP U SAFE","KEEP U SAFE","Keep u safe is a pioneer in specialized polymer additives and coatings..

It has a global footprint in 45 countries and has manufacturing plants in USA, Mexico, Europe and India with over 10,000 customers globally and employs 1000 dedicated workforce.
It is one of the fastest-growing specialized additives and polymer manufacturers which adheres to the principle of #sustainability i.e. finding ways to align our business values and reducing our carbon footprint thus creating value for society and the environment.","Chemical Manufacturing","501-1,000 employees","Public Company","La Mirada, California","United States","keepusafeproducts.com","https://www.linkedin.com/company/keep-u-safe",,,,,
,"Goldwing Enterprises Inc","✅ Goldwing Enterprises","Goldwing Enterprises",,"Chemical Manufacturing","11-50 employees",,"Greensboro, North Carolina","United States",,"https://www.linkedin.com/company/goldwing-enterprises-inc",,,,,
,"Nutri-Mg++","✅ Nutri-Mg++","Nutri-Mg++","The mission of Nutri-Mg⁺⁺ is simple: to enhance the treatment of potable water while improving the health of the community. 

The Nutri-Mg⁺⁺ process is a proprietary strategy that enables municipalities to enhance their treatment of potable water while protecting their water distribution assets and fortifying their water supply with magnesium, an essential nutrient for human health.  

Nutri-Mg⁺⁺ delivers multiple benefits: 

• Improved public health
• Enhanced water treatment process 
• pH/Alkalinity Control without undesirables
• Cost savings

Incorporating Nutri-Mg⁺⁺ into your treatment process is not complicated, time consuming, or costly, and there is minimal disruption to your current process.  After installation is complete, it will begin delivering benefits immediately leading to cost savings and an enhanced final product delivered to your community.

Nutri-Mg⁺⁺ provides better water and creates healthier communities today and for generations to come. 

Nutri-Mg++ is a technology Premier Magnesia, LLC
Premier Magnesia, LLC is a global market leader in magnesia-based product applications and technical expertise to the wastewater treatment and water utilities industries.","Chemical Manufacturing","11-50 employees",,"Wayne, PA","United States","nutri-mg.com","https://www.linkedin.com/company/nutrimg",,,,,
,"ASPEN CHEMICAL AND SUPPLY LLC","✅ ASPEN CHEMICAL AND SUPPLY","ASPEN CHEMICAL AND SUPPLY",,"Chemical Manufacturing","11-50 employees",,"SPRINGFIELD, Missouri","United States","aspenchemicalandsupply.com","https://www.linkedin.com/company/aspen-chemical-and-supply-llc",,,,,
,"W H Brady Co","✅ W H Brady","W H Brady",,"Chemical Manufacturing","11-50 employees",,"Dayton, Ohio","United States",,"https://www.linkedin.com/company/w-h-brady-co",,,,,
,"NEW HAVEN CHLOR-ALKALI LLC","✅ NEW HAVEN CHLOR-ALKALI","NEW HAVEN CHLOR-ALKALI",,"Chemical Manufacturing","11-50 employees",,"New Haven, Connecticut","United States",,"https://www.linkedin.com/company/new-haven-chlor-alkali-llc",,,,,
,"Rohmax Usa Inc","✅ Rohmax Usa","Rohmax Usa",,"Chemical Manufacturing","11-50 employees",,"Horsham, Pennsylvania","United States",,"https://www.linkedin.com/company/rohmax-usa-inc",,,,,
,"Dussek Campbell","✅ Dussek Campbell","Dussek Campbell",,"Chemical Manufacturing","11-50 employees",,"West Chester, OH","United States",,"https://www.linkedin.com/company/dussek-campbell",,,,,
,"Poly Plastic Products, Inc.","✅ Poly Plastic Products","Poly Plastic Products","Poly Plastic Products serves flexible packaging customers throughout the United States. Bundling and Machinable films, Gerber films, Poly Bags, Furniture Covers, Gaylord Liners, Mattress covers, Medical and Surgical bags, Pallet Covers, Postal films, Sheeting, Shrink bags, Tubing, and custom printing.","Chemical Manufacturing","51-200 employees",,"Delano, Pennsylvania","United States","polyplasticproducts.com","https://www.linkedin.com/company/poly-plastic-products-inc.",,,,,
,"AMERICAN INDUSTRIES DIVERSIFIED, INC","✅ AMERICAN INDUSTRIES DIVERSIFIED","AMERICAN INDUSTRIES DIVERSIFIED","Az powder coating and performance coatings. American Industries Div is located in Phx, Arizona. Custom powder coating, ceramic coating, Teflon coating, dry film lubricants.","Chemical Manufacturing","11-50 employees",,"Phoenix, Arizona","United States","aid-az.com","https://www.linkedin.com/company/american-industries-diversified-inc",,,,,
,"MILES SCIENTIFIC CORP DBA ANALTECH","✅ MILES SCIENTIFIC","MILES SCIENTIFIC",,"Chemical Manufacturing","11-50 employees",,"Newark, Delaware","United States",,"https://www.linkedin.com/company/miles-scientific-corp-dba-analtech",,,,,
,"Alpha Fit","✅ Alpha Fit","Alpha Fit",,"Chemical Manufacturing","11-50 employees",,"Texarkana, Texas","United States","alphafit.org","https://www.linkedin.com/company/alpha-fit",,,,,
,"PARR Technologies, LLC","✅ PARR Technologies","PARR Technologies",,"Chemical Manufacturing","11-50 employees",,"Elkhart, Indiana","United States","parrtechllc.com","https://www.linkedin.com/company/parr-technologies-llc",,,,,
,"Commercial Warehouse","✅ Commercial Warehouse","Commercial Warehouse",,"Chemical Manufacturing","11-50 employees",,"Winter Haven, FL","United States","commercialwarehousing.com","https://www.linkedin.com/company/commercial-warehouse",,,,,
,"Anitox Holding, Inc.","✅ Anitox Holding","Anitox Holding",,"Chemical Manufacturing","11-50 employees",,"Lawrenceville, Georgia","United States",,"https://www.linkedin.com/company/anitox-holding-inc.",,,,,
,"Service Chemical and Supply Co","✅ Service Chemical and Supply","Service Chemical and Supply",,"Chemical Manufacturing","11-50 employees",,"Bensenville, Illinois","United States","servicechem.us","https://www.linkedin.com/company/service-chemical-and-supply-co",,,,,
,"Garden Maker","✅ Garden Maker","Garden Maker","Natural and organic fertilizers with complete ingredient transparency, custom-mixed for your garden’s unique needs.

At Garden Maker Naturals, we believe you have the fundamental right to know, and control, every ingredient you are feeding your plants and your soil. After all, you can’t truly know what you grow until you know what’s in your fertilizer. We operate our company and build our products with three core values: Total Transparency, Complete Control and Natural Nutrition.

Total Transparency

We call our formulation philosophy Full Plantsparency. We show you the exact formulas for all our Signature Blends; every ingredient, every proportion. Sure, someone else could come along and copy our formula, but so what? For us, it’s not about offering product formulas that no one else has, it’s about offering a level of transparency that no one else provides.

To us, transparency also means minimal messing around with Mother Nature, and making sure every fertilizer ingredient delivers real, garden-growing benefits. In our Signature Blends, every single ingredient serves a nutrient-boosting or microbe-feeding purpose. And our Custom Mixes allow you to eliminate any ingredients your garden might not need.

Complete Control
We know there’s a lot about gardening we can’t control (the weather comes to mind). So it’s important to us to help you control the things you can, like the composition of your fertilizer. Our Mix Customizer lets you choose from a long list of individual ingredients in any combination or proportion, so your fertilizer is 100% tailored to your garden’s unique needs.

We also want to make it easier for you to garden according to your own principles. If you are following strict OMRI guidelines to grow or sell your produce organically, rest assured that every ingredient labeled “Organic” on our site has been approved by OMRI and/or CDFA. Our Vegan products do not contain any animal products, and non-GMO ingredients.","Chemical Manufacturing","51-200 employees","Privately Held","Elwood, Kansas","United States","gardenmaker.com","https://www.linkedin.com/company/gardenmaker",,,,,
,"Ditch The Drum","✅ Ditch The Drum","Ditch The Drum","Our system offers custom-formulated, environmentally friendly industrial cleaning and process chemicals, delivered to refillable containers.

Each year our unique system of REFILL...NOT LANDFILL prevents hundreds of thousands of empty drums and totes from going to our already overfilled landfills. Creating environmentally friendly products and delivering them to refillable containers makes life safer and healthier for everyone.

Whether you're scrubbing floors, cleaning vehicles, eliminating landfill odors, washing parts, or foam cleaning a poultry plant, our system is your solution.","Chemical Manufacturing","51-200 employees","Privately Held","South Windsor, CT","United States","ditchthedrum.com","https://www.linkedin.com/company/ditchthedrum",,,,,
,"Tri State Pest Management Inc","✅ Tri State Pest Management","Tri State Pest Management",,"Chemical Manufacturing","11-50 employees",,"Newark, DE","United States","tristatepestmgt.com","https://www.linkedin.com/company/tri-state-pest-management-inc",,,,,
,"Paro Services Corp.","✅ Paro Services Corp.","Paro Services Corp.",,"Chemical Manufacturing","11-50 employees",,"Macedonia, OH","United States",,"https://www.linkedin.com/company/paro-services-corp-",,,,,
,"ISK Magnetics Inc","✅ ISK Magnetics","ISK Magnetics",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States",,"https://www.linkedin.com/company/isk-magnetics-inc",,,,,
,"Magnesorb","✅ Magnesorb","Magnesorb","MAGNESORB adsorbents are specifically designed to quickly and economically remove naturally occurring and reaction by-product contaminants in a broad range of oleochemicals including specialty esters, surfactants, and lubricants.","Chemical Manufacturing","201-500 employees","Privately Held","Whitehouse, NJ","United States","dallasgrp.com","https://www.linkedin.com/company/magnesorb",,,,,
,"ASA ACQUISITIONS, INC. D/B/A ADIRONDACK SPECIALTY ADHESIVES","✅ ASA ACQUISITIONS","ASA ACQUISITIONS","ASA ACQUISITIONS, INC. D/B/A ADIRONDACK SPECIALTY ADHESIVES is a chemicals company based out of 4258 ALBANY ST, Albany, New York, United States.","Chemical Manufacturing","11-50 employees",,"Albany, New York","United States",,"https://www.linkedin.com/company/asa-acquisitions-inc.-d-b-a-adirondack-specialty-adhesives",,,,,
,"Western Farm Service","✅ Western Farm Service","Western Farm Service",,"Chemical Manufacturing","51-200 employees",,"Stockton, California","United States",,"https://www.linkedin.com/company/western-farm-service",,,,,
,"上海双源大蒜油有限公司","✅ 上海双源大蒜油有限公司","上海双源大蒜油有限公司","全球最大的大蒜油生产商,拥有50万亩富硒蒜田和中美双重FDA认证,始创于1987年,公司网址:www.大蒜油.com.
美国双源大蒜油集团，全球大蒜油专家，您最好的蒜品选择，提供完全的大蒜产品解决方案 ！
公司网址：www.garlicoil.com, www.大蒜油.com
邮箱：mail@garlicoil.com
24小时垂询热线：（0086）13166330033

Sunshine Garlic, Global Garlic Specialist, Your Best Garlic Choice, Provide Total Garlic Solution !
Website ：www.garlicoil.com,
Email: mail@garlicoil.com
7/24 hotline: (0086) 131 6633 0033","Chemical Manufacturing","501-1,000 employees","Public Company","纽约, 纽约","United States","garlicoil.com","https://www.linkedin.com/company/上海双源大蒜油有限公司",,,,,
,"RICMAR INDUSTRIES INC.","✅ RICMAR INDUSTRIES","RICMAR INDUSTRIES",,"Chemical Manufacturing","11-50 employees",,"ELMHURST, Illinois","United States","ricmarindustries.com","https://www.linkedin.com/company/ricmar-industries-inc.",,,,,
,"Todd Wehr Memorial Library","✅ Todd Wehr Memorial Library","Todd Wehr Memorial Library",,"Chemical Manufacturing","11-50 employees",,"Waukesha, Wisconsin","United States",,"https://www.linkedin.com/company/todd-wehr-memorial-library",,,,,
,"Agrilectric Research Co","✅ Agrilectric Research","Agrilectric Research",,"Chemical Manufacturing","11-50 employees",,"Humble, Texas","United States","agrilectric.com","https://www.linkedin.com/company/agrilectric-research-co",,,,,
,"Ethyl Petroleum Additives Co","✅ Ethyl Petroleum Additives","Ethyl Petroleum Additives",,"Chemical Manufacturing","11-50 employees",,"Bingham Farms, Michigan","United States",,"https://www.linkedin.com/company/ethyl-petroleum-additives-co",,,,,
,"Soap Goddess Handmade Soap Company","✅ Soap Goddess Handmade Soap","Soap Goddess Handmade Soap",,"Chemical Manufacturing","11-50 employees",,"Waxahachie, Texas","United States","soapgoddess.com","https://www.linkedin.com/company/soap-goddess-handmade-soap-company",,,,,
,"Joseph E. Seagram & Sons, Inc.","✅ Joseph E. Seagram & Sons","Joseph E. Seagram & Sons",,"Chemical Manufacturing","201-500 employees",,"New York, New York","United States",,"https://www.linkedin.com/company/joseph-e-seagram-&-sons-inc-",,,,,
,"Harrison Paint","✅ Harrison Paint","Harrison Paint",,"Chemical Manufacturing","11-50 employees",,"Lafayette, Louisiana","United States",,"https://www.linkedin.com/company/harrison-paint",,,,,
